"sim_time","rose-energy-63 - _step","rose-energy-63 - _step__MIN","rose-energy-63 - _step__MAX","rose-energy-63 - run/nusselt","rose-energy-63 - run/nusselt__MIN","rose-energy-63 - run/nusselt__MAX","warm-surf-61 - _step","warm-surf-61 - _step__MIN","warm-surf-61 - _step__MAX","warm-surf-61 - run/nusselt","warm-surf-61 - run/nusselt__MIN","warm-surf-61 - run/nusselt__MAX","tough-durian-59 - _step","tough-durian-59 - _step__MIN","tough-durian-59 - _step__MAX","tough-durian-59 - run/nusselt","tough-durian-59 - run/nusselt__MIN","tough-durian-59 - run/nusselt__MAX","earthy-microwave-57 - _step","earthy-microwave-57 - _step__MIN","earthy-microwave-57 - _step__MAX","earthy-microwave-57 - run/nusselt","earthy-microwave-57 - run/nusselt__MIN","earthy-microwave-57 - run/nusselt__MAX","tough-dragon-55 - _step","tough-dragon-55 - _step__MIN","tough-dragon-55 - _step__MAX","tough-dragon-55 - run/nusselt","tough-dragon-55 - run/nusselt__MIN","tough-dragon-55 - run/nusselt__MAX","prime-vortex-53 - _step","prime-vortex-53 - _step__MIN","prime-vortex-53 - _step__MAX","prime-vortex-53 - run/nusselt","prime-vortex-53 - run/nusselt__MIN","prime-vortex-53 - run/nusselt__MAX","giddy-deluge-51 - _step","giddy-deluge-51 - _step__MIN","giddy-deluge-51 - _step__MAX","giddy-deluge-51 - run/nusselt","giddy-deluge-51 - run/nusselt__MIN","giddy-deluge-51 - run/nusselt__MAX","dutiful-meadow-49 - _step","dutiful-meadow-49 - _step__MIN","dutiful-meadow-49 - _step__MAX","dutiful-meadow-49 - run/nusselt","dutiful-meadow-49 - run/nusselt__MIN","dutiful-meadow-49 - run/nusselt__MAX","usual-grass-47 - _step","usual-grass-47 - _step__MIN","usual-grass-47 - _step__MAX","usual-grass-47 - run/nusselt","usual-grass-47 - run/nusselt__MIN","usual-grass-47 - run/nusselt__MAX","swift-sky-45 - _step","swift-sky-45 - _step__MIN","swift-sky-45 - _step__MAX","swift-sky-45 - run/nusselt","swift-sky-45 - run/nusselt__MIN","swift-sky-45 - run/nusselt__MAX","stoic-elevator-44 - _step","stoic-elevator-44 - _step__MIN","stoic-elevator-44 - _step__MAX","stoic-elevator-44 - run/nusselt","stoic-elevator-44 - run/nusselt__MIN","stoic-elevator-44 - run/nusselt__MAX","copper-leaf-42 - _step","copper-leaf-42 - _step__MIN","copper-leaf-42 - _step__MAX","copper-leaf-42 - run/nusselt","copper-leaf-42 - run/nusselt__MIN","copper-leaf-42 - run/nusselt__MAX","earnest-fire-40 - _step","earnest-fire-40 - _step__MIN","earnest-fire-40 - _step__MAX","earnest-fire-40 - run/nusselt","earnest-fire-40 - run/nusselt__MIN","earnest-fire-40 - run/nusselt__MAX","glad-hill-38 - _step","glad-hill-38 - _step__MIN","glad-hill-38 - _step__MAX","glad-hill-38 - run/nusselt","glad-hill-38 - run/nusselt__MIN","glad-hill-38 - run/nusselt__MAX"
"11","31","31","31","2.9203635040201315","2.9203635040201315","2.9203635040201315","31","31","31","2.918898931168252","2.918898931168252","2.918898931168252","31","31","31","2.919347626438158","2.919347626438158","2.919347626438158","31","31","31","2.9203635040201315","2.9203635040201315","2.9203635040201315","31","31","31","2.919547770899337","2.919547770899337","2.919547770899337","31","31","31","2.9204529206625858","2.9204529206625858","2.9204529206625858","31","31","31","2.91756052870948","2.91756052870948","2.91756052870948","31","31","31","2.920196337350855","2.920196337350855","2.920196337350855","31","31","31","2.917370947414919","2.917370947414919","2.917370947414919","31","31","31","2.9180125580368395","2.9180125580368395","2.9180125580368395","31","31","31","2.9188768082584216","2.9188768082584216","2.9188768082584216","31","31","31","2.919648798833389","2.919648798833389","2.919648798833389","31","31","31","2.9180125580368395","2.9180125580368395","2.9180125580368395","31","31","31","2.917370947414919","2.917370947414919","2.917370947414919"
"12","34","34","34","2.9213814319716698","2.9213814319716698","2.9213814319716698","34","34","34","2.9194677313823805","2.9194677313823805","2.9194677313823805","34","34","34","2.91974207222118","2.91974207222118","2.91974207222118","34","34","34","2.9213814319716698","2.9213814319716698","2.9213814319716698","34","34","34","2.9188229489751425","2.9188229489751425","2.9188229489751425","34","34","34","2.920683069335905","2.920683069335905","2.920683069335905","34","34","34","2.919053400629098","2.919053400629098","2.919053400629098","34","34","34","2.9195891664478646","2.9195891664478646","2.9195891664478646","34","34","34","2.918382923912785","2.918382923912785","2.918382923912785","34","34","34","2.917200384922145","2.917200384922145","2.917200384922145","34","34","34","2.9200605478158566","2.9200605478158566","2.9200605478158566","34","34","34","2.9191216046154964","2.9191216046154964","2.9191216046154964","34","34","34","2.917200384922145","2.917200384922145","2.917200384922145","34","34","34","2.918382923912785","2.918382923912785","2.918382923912785"
"13","37","37","37","2.919796557349046","2.919796557349046","2.919796557349046","37","37","37","2.920058937427307","2.920058937427307","2.920058937427307","37","37","37","2.920057861379334","2.920057861379334","2.920057861379334","37","37","37","2.919796557349046","2.919796557349046","2.919796557349046","37","37","37","2.9186159269424987","2.9186159269424987","2.9186159269424987","37","37","37","2.919459221872608","2.919459221872608","2.919459221872608","37","37","37","2.9204266008360475","2.9204266008360475","2.9204266008360475","37","37","37","2.9188923524862735","2.9188923524862735","2.9188923524862735","37","37","37","2.919875020345664","2.919875020345664","2.919875020345664","37","37","37","2.91782637911898","2.91782637911898","2.91782637911898","37","37","37","2.9205067100752884","2.9205067100752884","2.9205067100752884","37","37","37","2.9189666508362495","2.9189666508362495","2.9189666508362495","37","37","37","2.91782637911898","2.91782637911898","2.91782637911898","37","37","37","2.919875020345664","2.919875020345664","2.919875020345664"
"14","40","40","40","2.9169819721295935","2.9169819721295935","2.9169819721295935","40","40","40","2.920200427114376","2.920200427114376","2.920200427114376","40","40","40","2.9200457958005597","2.9200457958005597","2.9200457958005597","40","40","40","2.9169819721295935","2.9169819721295935","2.9169819721295935","40","40","40","2.919083685370772","2.919083685370772","2.919083685370772","40","40","40","2.9178209334343577","2.9178209334343577","2.9178209334343577","40","40","40","2.920588838271881","2.920588838271881","2.920588838271881","40","40","40","2.9186744576276045","2.9186744576276045","2.9186744576276045","40","40","40","2.92064260960634","2.92064260960634","2.92064260960634","40","40","40","2.9193560825200975","2.9193560825200975","2.9193560825200975","40","40","40","2.9198853754388927","2.9198853754388927","2.9198853754388927","40","40","40","2.919301775704571","2.919301775704571","2.919301775704571","40","40","40","2.9193560825200975","2.9193560825200975","2.9193560825200975","40","40","40","2.92064260960634","2.92064260960634","2.92064260960634"
"15","43","43","43","2.915260997165009","2.915260997165009","2.915260997165009","43","43","43","2.919795473666129","2.919795473666129","2.919795473666129","43","43","43","2.919727645847229","2.919727645847229","2.919727645847229","43","43","43","2.915260997165009","2.915260997165009","2.915260997165009","43","43","43","2.919835621859809","2.919835621859809","2.919835621859809","43","43","43","2.917110972755115","2.917110972755115","2.917110972755115","43","43","43","2.9194549314132936","2.9194549314132936","2.9194549314132936","43","43","43","2.9191020810654384","2.9191020810654384","2.9191020810654384","43","43","43","2.920098401416858","2.920098401416858","2.920098401416858","43","43","43","2.920543065097686","2.920543065097686","2.920543065097686","43","43","43","2.918735683376046","2.918735683376046","2.918735683376046","43","43","43","2.9198470038895334","2.9198470038895334","2.9198470038895334","43","43","43","2.920543065097686","2.920543065097686","2.920543065097686","43","43","43","2.920098401416858","2.920098401416858","2.920098401416858"
"16","46","46","46","2.916006140738522","2.916006140738522","2.916006140738522","46","46","46","2.9191899996843977","2.9191899996843977","2.9191899996843977","46","46","46","2.919370915813016","2.919370915813016","2.919370915813016","46","46","46","2.916006140738522","2.916006140738522","2.916006140738522","46","46","46","2.9202635145987847","2.9202635145987847","2.9202635145987847","46","46","46","2.9178851494377147","2.9178851494377147","2.9178851494377147","46","46","46","2.917986137148958","2.917986137148958","2.917986137148958","46","46","46","2.9198175102871775","2.9198175102871775","2.9198175102871775","46","46","46","2.918728356687033","2.918728356687033","2.918728356687033","46","46","46","2.9204519886251106","2.9204519886251106","2.9204519886251106","46","46","46","2.9180065362005454","2.9180065362005454","2.9180065362005454","46","46","46","2.9201612113072395","2.9201612113072395","2.9201612113072395","46","46","46","2.9204519886251106","2.9204519886251106","2.9204519886251106","46","46","46","2.918728356687033","2.918728356687033","2.918728356687033"
"17","49","49","49","2.9185646481000793","2.9185646481000793","2.9185646481000793","49","49","49","2.918881340891599","2.918881340891599","2.918881340891599","49","49","49","2.9192664490450033","2.9192664490450033","2.9192664490450033","49","49","49","2.9185646481000793","2.9185646481000793","2.9185646481000793","49","49","49","2.9200371988256406","2.9200371988256406","2.9200371988256406","49","49","49","2.9194887691062474","2.9194887691062474","2.9194887691062474","49","49","49","2.9173851916260793","2.9173851916260793","2.9173851916260793","49","49","49","2.9202415608533125","2.9202415608533125","2.9202415608533125","49","49","49","2.917669389363823","2.917669389363823","2.917669389363823","49","49","49","2.919203335458062","2.919203335458062","2.919203335458062","49","49","49","2.9182805225819903","2.9182805225819903","2.9182805225819903","49","49","49","2.9200017210290268","2.9200017210290268","2.9200017210290268","49","49","49","2.919203335458062","2.919203335458062","2.919203335458062","49","49","49","2.917669389363823","2.917669389363823","2.917669389363823"
"18","52","52","52","2.9208436086346614","2.9208436086346614","2.9208436086346614","52","52","52","2.9191135269135033","2.9191135269135033","2.9191135269135033","52","52","52","2.919493674711003","2.919493674711003","2.919493674711003","52","52","52","2.9208436086346614","2.9208436086346614","2.9208436086346614","52","52","52","2.919362575057395","2.919362575057395","2.919362575057395","52","52","52","2.920618328569822","2.920618328569822","2.920618328569822","52","52","52","2.918120832300982","2.918120832300982","2.918120832300982","52","52","52","2.9200459872655355","2.9200459872655355","2.9200459872655355","52","52","52","2.917774534648944","2.917774534648944","2.917774534648944","52","52","52","2.9178464422796346","2.9178464422796346","2.9178464422796346","52","52","52","2.919315982643494","2.919315982643494","2.919315982643494","52","52","52","2.9195140668282176","2.9195140668282176","2.9195140668282176","52","52","52","2.9178464422796346","2.9178464422796346","2.9178464422796346","52","52","52","2.917774534648944","2.917774534648944","2.917774534648944"
"19","55","55","55","2.9210341265262723","2.9210341265262723","2.9210341265262723","55","55","55","2.9196882764790586","2.9196882764790586","2.9196882764790586","55","55","55","2.9198627833013298","2.9198627833013298","2.9198627833013298","55","55","55","2.9210341265262723","2.9210341265262723","2.9210341265262723","55","55","55","2.9188005058556987","2.9188005058556987","2.9188005058556987","55","55","55","2.9203887594672526","2.9203887594672526","2.9203887594672526","55","55","55","2.919572587020735","2.919572587020735","2.919572587020735","55","55","55","2.919410698987819","2.919410698987819","2.919410698987819","55","55","55","2.9189349879967526","2.9189349879967526","2.9189349879967526","55","55","55","2.9174869799141687","2.9174869799141687","2.9174869799141687","55","55","55","2.920265359491924","2.920265359491924","2.920265359491924","55","55","55","2.919103744513619","2.919103744513619","2.919103744513619","55","55","55","2.9174869799141687","2.9174869799141687","2.9174869799141687","55","55","55","2.9189349879967526","2.9189349879967526","2.9189349879967526"
"20","58","58","58","2.919061143678212","2.919061143678212","2.919061143678212","58","58","58","2.920137246135401","2.920137246135401","2.920137246135401","58","58","58","2.920075160186323","2.920075160186323","2.920075160186323","58","58","58","2.919061143678212","2.919061143678212","2.919061143678212","58","58","58","2.9188049784025907","2.9188049784025907","2.9188049784025907","58","58","58","2.9190347649103017","2.9190347649103017","2.9190347649103017","58","58","58","2.9205613709180733","2.9205613709180733","2.9205613709180733","58","58","58","2.9188643958877525","2.9188643958877525","2.9188643958877525","58","58","58","2.92019584112692","2.92019584112692","2.92019584112692","58","58","58","2.918395292749475","2.918395292749475","2.918395292749475","58","58","58","2.920374369541704","2.920374369541704","2.920374369541704","58","58","58","2.9191022814653893","2.9191022814653893","2.9191022814653893","58","58","58","2.918395292749475","2.918395292749475","2.918395292749475","58","58","58","2.92019584112692","2.92019584112692","2.92019584112692"
"21","61","61","61","2.916595541988189","2.916595541988189","2.916595541988189","61","61","61","2.9201065983799874","2.9201065983799874","2.9201065983799874","61","61","61","2.919966805102503","2.919966805102503","2.919966805102503","61","61","61","2.916595541988189","2.916595541988189","2.916595541988189","61","61","61","2.9193608709697916","2.9193608709697916","2.9193608709697916","61","61","61","2.9176899028704977","2.9176899028704977","2.9176899028704977","61","61","61","2.9203141072305647","2.9203141072305647","2.9203141072305647","61","61","61","2.9188488192347535","2.9188488192347535","2.9188488192347535","61","61","61","2.9205484169768665","2.9205484169768665","2.9205484169768665","61","61","61","2.919813699428879","2.919813699428879","2.919813699428879","61","61","61","2.9195867247209795","2.9195867247209795","2.9195867247209795","61","61","61","2.919502577278551","2.919502577278551","2.919502577278551","61","61","61","2.919813699428879","2.919813699428879","2.919813699428879","61","61","61","2.9205484169768665","2.9205484169768665","2.9205484169768665"
"22","64","64","64","2.9156552313000614","2.9156552313000614","2.9156552313000614","64","64","64","2.9196386217035415","2.9196386217035415","2.9196386217035415","64","64","64","2.9196365337928456","2.9196365337928456","2.9196365337928456","64","64","64","2.9156552313000614","2.9156552313000614","2.9156552313000614","64","64","64","2.9200097033449217","2.9200097033449217","2.9200097033449217","64","64","64","2.9174470278578073","2.9174470278578073","2.9174470278578073","64","64","64","2.9190751189028488","2.9190751189028488","2.9190751189028488","64","64","64","2.9193657846225","2.9193657846225","2.9193657846225","64","64","64","2.919743902414159","2.919743902414159","2.919743902414159","64","64","64","2.920595537302162","2.920595537302162","2.920595537302162","64","64","64","2.9185697507744344","2.9185697507744344","2.9185697507744344","64","64","64","2.9199743821037307","2.9199743821037307","2.9199743821037307","64","64","64","2.920595537302162","2.920595537302162","2.920595537302162","64","64","64","2.919743902414159","2.919743902414159","2.919743902414159"
"23","67","67","67","2.9169696486819214","2.9169696486819214","2.9169696486819214","67","67","67","2.919126419831114","2.919126419831114","2.919126419831114","67","67","67","2.919358932812869","2.919358932812869","2.919358932812869","67","67","67","2.9169696486819214","2.9169696486819214","2.9169696486819214","67","67","67","2.9202311930239184","2.9202311930239184","2.9202311930239184","67","67","67","2.9184799169478906","2.9184799169478906","2.9184799169478906","67","67","67","2.9178803484474423","2.9178803484474423","2.9178803484474423","67","67","67","2.9199884556733893","2.9199884556733893","2.9199884556733893","67","67","67","2.9184724585275994","2.9184724585275994","2.9184724585275994","67","67","67","2.920139025135724","2.920139025135724","2.920139025135724","67","67","67","2.9181559730137203","2.9181559730137203","2.9181559730137203","67","67","67","2.9201392585846704","2.9201392585846704","2.9201392585846704","67","67","67","2.920139025135724","2.920139025135724","2.920139025135724","67","67","67","2.9184724585275994","2.9184724585275994","2.9184724585275994"
"24","70","70","70","2.919432624379351","2.919432624379351","2.919432624379351","70","70","70","2.918987325869333","2.918987325869333","2.918987325869333","70","70","70","2.919358281325962","2.919358281325962","2.919358281325962","70","70","70","2.919432624379351","2.919432624379351","2.919432624379351","70","70","70","2.9198637974652066","2.9198637974652066","2.9198637974652066","70","70","70","2.919930709423319","2.919930709423319","2.919930709423319","70","70","70","2.9176997277561765","2.9176997277561765","2.9176997277561765","70","70","70","2.9202170244961443","2.9202170244961443","2.9202170244961443","70","70","70","2.917780102094432","2.917780102094432","2.917780102094432","70","70","70","2.9188568208409107","2.9188568208409107","2.9188568208409107","70","70","70","2.9186680938035026","2.9186680938035026","2.9186680938035026","70","70","70","2.919876549708951","2.919876549708951","2.919876549708951","70","70","70","2.9188568208409107","2.9188568208409107","2.9188568208409107","70","70","70","2.917780102094432","2.917780102094432","2.917780102094432"
