"sim_time","easy-frost-109 - _step","easy-frost-109 - _step__MIN","easy-frost-109 - _step__MAX","easy-frost-109 - run/nusselt","easy-frost-109 - run/nusselt__MIN","easy-frost-109 - run/nusselt__MAX","glorious-valley-108 - _step","glorious-valley-108 - _step__MIN","glorious-valley-108 - _step__MAX","glorious-valley-108 - run/nusselt","glorious-valley-108 - run/nusselt__MIN","glorious-valley-108 - run/nusselt__MAX","swept-oath-105 - _step","swept-oath-105 - _step__MIN","swept-oath-105 - _step__MAX","swept-oath-105 - run/nusselt","swept-oath-105 - run/nusselt__MIN","swept-oath-105 - run/nusselt__MAX","gentle-dust-104 - _step","gentle-dust-104 - _step__MIN","gentle-dust-104 - _step__MAX","gentle-dust-104 - run/nusselt","gentle-dust-104 - run/nusselt__MIN","gentle-dust-104 - run/nusselt__MAX","whole-eon-101 - _step","whole-eon-101 - _step__MIN","whole-eon-101 - _step__MAX","whole-eon-101 - run/nusselt","whole-eon-101 - run/nusselt__MIN","whole-eon-101 - run/nusselt__MAX","wobbly-feather-100 - _step","wobbly-feather-100 - _step__MIN","wobbly-feather-100 - _step__MAX","wobbly-feather-100 - run/nusselt","wobbly-feather-100 - run/nusselt__MIN","wobbly-feather-100 - run/nusselt__MAX","exalted-sky-97 - _step","exalted-sky-97 - _step__MIN","exalted-sky-97 - _step__MAX","exalted-sky-97 - run/nusselt","exalted-sky-97 - run/nusselt__MIN","exalted-sky-97 - run/nusselt__MAX","pretty-fire-96 - _step","pretty-fire-96 - _step__MIN","pretty-fire-96 - _step__MAX","pretty-fire-96 - run/nusselt","pretty-fire-96 - run/nusselt__MIN","pretty-fire-96 - run/nusselt__MAX","genial-sea-93 - _step","genial-sea-93 - _step__MIN","genial-sea-93 - _step__MAX","genial-sea-93 - run/nusselt","genial-sea-93 - run/nusselt__MIN","genial-sea-93 - run/nusselt__MAX","giddy-tree-92 - _step","giddy-tree-92 - _step__MIN","giddy-tree-92 - _step__MAX","giddy-tree-92 - run/nusselt","giddy-tree-92 - run/nusselt__MIN","giddy-tree-92 - run/nusselt__MAX","ancient-bush-89 - _step","ancient-bush-89 - _step__MIN","ancient-bush-89 - _step__MAX","ancient-bush-89 - run/nusselt","ancient-bush-89 - run/nusselt__MIN","ancient-bush-89 - run/nusselt__MAX","wandering-cosmos-88 - _step","wandering-cosmos-88 - _step__MIN","wandering-cosmos-88 - _step__MAX","wandering-cosmos-88 - run/nusselt","wandering-cosmos-88 - run/nusselt__MIN","wandering-cosmos-88 - run/nusselt__MAX","easy-bird-85 - _step","easy-bird-85 - _step__MIN","easy-bird-85 - _step__MAX","easy-bird-85 - run/nusselt","easy-bird-85 - run/nusselt__MIN","easy-bird-85 - run/nusselt__MAX","good-brook-84 - _step","good-brook-84 - _step__MIN","good-brook-84 - _step__MAX","good-brook-84 - run/nusselt","good-brook-84 - run/nusselt__MIN","good-brook-84 - run/nusselt__MAX","cerulean-sponge-81 - _step","cerulean-sponge-81 - _step__MIN","cerulean-sponge-81 - _step__MAX","cerulean-sponge-81 - run/nusselt","cerulean-sponge-81 - run/nusselt__MIN","cerulean-sponge-81 - run/nusselt__MAX","stoic-dawn-80 - _step","stoic-dawn-80 - _step__MIN","stoic-dawn-80 - _step__MAX","stoic-dawn-80 - run/nusselt","stoic-dawn-80 - run/nusselt__MIN","stoic-dawn-80 - run/nusselt__MAX"
"11","31","31","31","5.189277079619654","5.189277079619654","5.189277079619654","31","31","31","5.189277079619653","5.189277079619653","5.189277079619653","31","31","31","8.625719569768306","8.625719569768306","8.625719569768306","31","31","31","10.376530031999373","10.376530031999373","10.376530031999373","31","31","31","8.561077711756926","8.561077711756926","8.561077711756926","31","31","31","12.887207420951842","12.887207420951842","12.887207420951842","31","31","31","13.79635240239225","13.79635240239225","13.79635240239225","31","31","31","12.896889939682689","12.896889939682689","12.896889939682689","31","31","31","9.333187670427852","9.333187670427852","9.333187670427852","31","31","31","9.313808262787532","9.313808262787532","9.313808262787532","31","31","31","8.561077711756926","8.561077711756926","8.561077711756926","31","31","31","11.527365202630854","11.527365202630854","11.527365202630854","31","31","31","8.625719569768306","8.625719569768306","8.625719569768306","31","31","31","12.896889939682689","12.896889939682689","12.896889939682689","31","31","31","6.368687641906889","6.368687641906889","6.368687641906889","31","31","31","12.887207420951842","12.887207420951842","12.887207420951842"
"12","34","34","34","1.5531475224840228","1.5531475224840228","1.5531475224840228","34","34","34","1.5531475224840263","1.5531475224840263","1.5531475224840263","34","34","34","11.591109947439131","11.591109947439131","11.591109947439131","34","34","34","14.482873834321921","14.482873834321921","14.482873834321921","34","34","34","5.8368763870454226","5.8368763870454226","5.8368763870454226","34","34","34","6.455714896902825","6.455714896902825","6.455714896902825","34","34","34","12.32503940208037","12.32503940208037","12.32503940208037","34","34","34","13.266984854149417","13.266984854149417","13.266984854149417","34","34","34","9.402771832971636","9.402771832971636","9.402771832971636","34","34","34","9.149031524804986","9.149031524804986","9.149031524804986","34","34","34","5.8368763870454226","5.8368763870454226","5.8368763870454226","34","34","34","6.61464467653824","6.61464467653824","6.61464467653824","34","34","34","11.591109947439131","11.591109947439131","11.591109947439131","34","34","34","13.266984854149417","13.266984854149417","13.266984854149417","34","34","34","8.872052075605305","8.872052075605305","8.872052075605305","34","34","34","6.455714896902825","6.455714896902825","6.455714896902825"
"13","37","37","37","6.150379746138336","6.150379746138336","6.150379746138336","37","37","37","6.150379746138334","6.150379746138334","6.150379746138334","37","37","37","12.419492201180349","12.419492201180349","12.419492201180349","37","37","37","14.367970192163538","14.367970192163538","14.367970192163538","37","37","37","8.352325976430611","8.352325976430611","8.352325976430611","37","37","37","3.6651663412838866","3.6651663412838866","3.6651663412838866","37","37","37","7.968691608663352","7.968691608663352","7.968691608663352","37","37","37","9.611621993891736","9.611621993891736","9.611621993891736","37","37","37","9.36897862117977","9.36897862117977","9.36897862117977","37","37","37","9.450099184244277","9.450099184244277","9.450099184244277","37","37","37","8.352325976430611","8.352325976430611","8.352325976430611","37","37","37","5.854904646489062","5.854904646489062","5.854904646489062","37","37","37","12.419492201180349","12.419492201180349","12.419492201180349","37","37","37","9.611621993891736","9.611621993891736","9.611621993891736","37","37","37","11.725564584649634","11.725564584649634","11.725564584649634","37","37","37","3.6651663412838866","3.6651663412838866","3.6651663412838866"
"14","40","40","40","14.311735600862857","14.311735600862857","14.311735600862857","40","40","40","14.311735600862857","14.311735600862857","14.311735600862857","40","40","40","10.348806560210237","10.348806560210237","10.348806560210237","40","40","40","10.582463597821913","10.582463597821913","10.582463597821913","40","40","40","12.70938214183339","12.70938214183339","12.70938214183339","40","40","40","7.561963631521938","7.561963631521938","7.561963631521938","40","40","40","5.782955986194088","5.782955986194088","5.782955986194088","40","40","40","5.262952793123432","5.262952793123432","5.262952793123432","40","40","40","9.454117561229403","9.454117561229403","9.454117561229403","40","40","40","10.095929822346042","10.095929822346042","10.095929822346042","40","40","40","12.70938214183339","12.70938214183339","12.70938214183339","40","40","40","10.084303382226388","10.084303382226388","10.084303382226388","40","40","40","10.348806560210237","10.348806560210237","10.348806560210237","40","40","40","5.262952793123432","5.262952793123432","5.262952793123432","40","40","40","12.288404801762175","12.288404801762175","12.288404801762175","40","40","40","7.561963631521938","7.561963631521938","7.561963631521938"
"15","43","43","43","18.89331406771559","18.89331406771559","18.89331406771559","43","43","43","18.893314067715586","18.893314067715586","18.893314067715586","43","43","43","7.485403480410925","7.485403480410925","7.485403480410925","43","43","43","8.08763191369489","8.08763191369489","8.08763191369489","43","43","43","14.35813209361221","14.35813209361221","14.35813209361221","43","43","43","13.7988216803203","13.7988216803203","13.7988216803203","43","43","43","8.96150456705163","8.96150456705163","8.96150456705163","43","43","43","5.295419607313019","5.295419607313019","5.295419607313019","43","43","43","9.581991835750179","9.581991835750179","9.581991835750179","43","43","43","10.303976002884683","10.303976002884683","10.303976002884683","43","43","43","14.35813209361221","14.35813209361221","14.35813209361221","43","43","43","13.997941611892648","13.997941611892648","13.997941611892648","43","43","43","7.485403480410925","7.485403480410925","7.485403480410925","43","43","43","5.295419607313019","5.295419607313019","5.295419607313019","43","43","43","10.072392288294408","10.072392288294408","10.072392288294408","43","43","43","13.7988216803203","13.7988216803203","13.7988216803203"
"16","46","46","46","16.350722955279437","16.350722955279437","16.350722955279437","46","46","46","16.350722955279437","16.350722955279437","16.350722955279437","46","46","46","7.786318287423884","7.786318287423884","7.786318287423884","46","46","46","8.985002549311096","8.985002549311096","8.985002549311096","46","46","46","11.543522481927939","11.543522481927939","11.543522481927939","46","46","46","16.172137078846994","16.172137078846994","16.172137078846994","46","46","46","13.054135945467284","13.054135945467284","13.054135945467284","46","46","46","10.61768351067614","10.61768351067614","10.61768351067614","46","46","46","9.65769620391863","9.65769620391863","9.65769620391863","46","46","46","10.462352319933313","10.462352319933313","10.462352319933313","46","46","46","11.543522481927939","11.543522481927939","11.543522481927939","46","46","46","14.070726216010131","14.070726216010131","14.070726216010131","46","46","46","7.786318287423884","7.786318287423884","7.786318287423884","46","46","46","10.61768351067614","10.61768351067614","10.61768351067614","46","46","46","7.6289145228139095","7.6289145228139095","7.6289145228139095","46","46","46","16.172137078846994","16.172137078846994","16.172137078846994"
"17","49","49","49","8.435179790737436","8.435179790737436","8.435179790737436","49","49","49","8.435179790737436","8.435179790737436","8.435179790737436","49","49","49","11.743493305527595","11.743493305527595","11.743493305527595","49","49","49","10.412068673635085","10.412068673635085","10.412068673635085","49","49","49","6.724221945361075","6.724221945361075","6.724221945361075","49","49","49","13.030773526258946","13.030773526258946","13.030773526258946","49","49","49","14.107476372668842","14.107476372668842","14.107476372668842","49","49","49","15.731974568243446","15.731974568243446","15.731974568243446","49","49","49","9.522919314890427","9.522919314890427","9.522919314890427","49","49","49","9.80398678296038","9.80398678296038","9.80398678296038","49","49","49","6.724221945361075","6.724221945361075","6.724221945361075","49","49","49","10.064267396589708","10.064267396589708","10.064267396589708","49","49","49","11.743493305527595","11.743493305527595","11.743493305527595","49","49","49","15.731974568243446","15.731974568243446","15.731974568243446","49","49","49","8.406178659922508","8.406178659922508","8.406178659922508","49","49","49","13.030773526258946","13.030773526258946","13.030773526258946"
"18","52","52","52","3.0457170077513553","3.0457170077513553","3.0457170077513553","52","52","52","3.0457170077513527","3.0457170077513527","3.0457170077513527","52","52","52","13.78108442747134","13.78108442747134","13.78108442747134","52","52","52","10.160350752662433","10.160350752662433","10.160350752662433","52","52","52","5.332199834854647","5.332199834854647","5.332199834854647","52","52","52","7.293339697888969","7.293339697888969","7.293339697888969","52","52","52","10.780575901352023","10.780575901352023","10.780575901352023","52","52","52","16.027583646048413","16.027583646048413","16.027583646048413","52","52","52","9.266191656002299","9.266191656002299","9.266191656002299","52","52","52","9.081348811026356","9.081348811026356","9.081348811026356","52","52","52","5.332199834854647","5.332199834854647","5.332199834854647","52","52","52","6.089792206864554","6.089792206864554","6.089792206864554","52","52","52","13.78108442747134","13.78108442747134","13.78108442747134","52","52","52","16.027583646048413","16.027583646048413","16.027583646048413","52","52","52","12.09731524759588","12.09731524759588","12.09731524759588","52","52","52","7.293339697888969","7.293339697888969","7.293339697888969"
"19","55","55","55","5.0007473759201595","5.0007473759201595","5.0007473759201595","55","55","55","5.0007473759201595","5.0007473759201595","5.0007473759201595","55","55","55","11.476663535038632","11.476663535038632","11.476663535038632","55","55","55","8.501673115361577","8.501673115361577","8.501673115361577","55","55","55","9.477740461913495","9.477740461913495","9.477740461913495","55","55","55","4.676510879718263","4.676510879718263","4.676510879718263","55","55","55","6.225038358765703","6.225038358765703","6.225038358765703","55","55","55","10.14622292883885","10.14622292883885","10.14622292883885","55","55","55","9.022465387542383","9.022465387542383","9.022465387542383","55","55","55","8.60349716933403","8.60349716933403","8.60349716933403","55","55","55","9.477740461913495","9.477740461913495","9.477740461913495","55","55","55","6.542754317817511","6.542754317817511","6.542754317817511","55","55","55","11.476663535038632","11.476663535038632","11.476663535038632","55","55","55","10.14622292883885","10.14622292883885","10.14622292883885","55","55","55","13.241477167597225","13.241477167597225","13.241477167597225","55","55","55","4.676510879718263","4.676510879718263","4.676510879718263"
"20","58","58","58","10.684444139367868","10.684444139367868","10.684444139367868","58","58","58","10.684444139367866","10.684444139367866","10.684444139367866","58","58","58","6.563297995466397","6.563297995466397","6.563297995466397","58","58","58","7.378021245243686","7.378021245243686","7.378021245243686","58","58","58","14.19342536203958","14.19342536203958","14.19342536203958","58","58","58","8.158314153044648","8.158314153044648","8.158314153044648","58","58","58","5.76261154971948","5.76261154971948","5.76261154971948","58","58","58","3.9699860406248693","3.9699860406248693","3.9699860406248693","58","58","58","8.945520180054523","8.945520180054523","8.945520180054523","58","58","58","8.307692978546061","8.307692978546061","8.307692978546061","58","58","58","14.19342536203958","14.19342536203958","14.19342536203958","58","58","58","11.194299179607068","11.194299179607068","11.194299179607068","58","58","58","6.563297995466397","6.563297995466397","6.563297995466397","58","58","58","3.9699860406248693","3.9699860406248693","3.9699860406248693","58","58","58","10.430001712078873","10.430001712078873","10.430001712078873","58","58","58","8.158314153044648","8.158314153044648","8.158314153044648"
"21","61","61","61","14.890056962182063","14.890056962182063","14.890056962182063","61","61","61","14.890056962182063","14.890056962182063","14.890056962182063","61","61","61","4.232913084645295","4.232913084645295","4.232913084645295","61","61","61","9.617663426954012","9.617663426954012","9.617663426954012","61","61","61","14.470424024782668","14.470424024782668","14.470424024782668","61","61","61","12.847059793972381","12.847059793972381","12.847059793972381","61","61","61","10.471194478390299","10.471194478390299","10.471194478390299","61","61","61","3.888563691500166","3.888563691500166","3.888563691500166","61","61","61","8.812491123561292","8.812491123561292","8.812491123561292","61","61","61","8.58470150103501","8.58470150103501","8.58470150103501","61","61","61","14.470424024782668","14.470424024782668","14.470424024782668","61","61","61","14.075061956576125","14.075061956576125","14.075061956576125","61","61","61","4.232913084645295","4.232913084645295","4.232913084645295","61","61","61","3.888563691500166","3.888563691500166","3.888563691500166","61","61","61","5.856913878627033","5.856913878627033","5.856913878627033","61","61","61","12.847059793972381","12.847059793972381","12.847059793972381"
