"sim_time","resilient-forest-43 - _step","resilient-forest-43 - _step__MIN","resilient-forest-43 - _step__MAX","resilient-forest-43 - run/nusselt","resilient-forest-43 - run/nusselt__MIN","resilient-forest-43 - run/nusselt__MAX","hearty-shape-41 - _step","hearty-shape-41 - _step__MIN","hearty-shape-41 - _step__MAX","hearty-shape-41 - run/nusselt","hearty-shape-41 - run/nusselt__MIN","hearty-shape-41 - run/nusselt__MAX","light-glitter-39 - _step","light-glitter-39 - _step__MIN","light-glitter-39 - _step__MAX","light-glitter-39 - run/nusselt","light-glitter-39 - run/nusselt__MIN","light-glitter-39 - run/nusselt__MAX","crisp-night-37 - _step","crisp-night-37 - _step__MIN","crisp-night-37 - _step__MAX","crisp-night-37 - run/nusselt","crisp-night-37 - run/nusselt__MIN","crisp-night-37 - run/nusselt__MAX","lyric-silence-36 - _step","lyric-silence-36 - _step__MIN","lyric-silence-36 - _step__MAX","lyric-silence-36 - run/nusselt","lyric-silence-36 - run/nusselt__MIN","lyric-silence-36 - run/nusselt__MAX","dulcet-deluge-35 - _step","dulcet-deluge-35 - _step__MIN","dulcet-deluge-35 - _step__MAX","dulcet-deluge-35 - run/nusselt","dulcet-deluge-35 - run/nusselt__MIN","dulcet-deluge-35 - run/nusselt__MAX","leafy-music-34 - _step","leafy-music-34 - _step__MIN","leafy-music-34 - _step__MAX","leafy-music-34 - run/nusselt","leafy-music-34 - run/nusselt__MIN","leafy-music-34 - run/nusselt__MAX","fallen-violet-33 - _step","fallen-violet-33 - _step__MIN","fallen-violet-33 - _step__MAX","fallen-violet-33 - run/nusselt","fallen-violet-33 - run/nusselt__MIN","fallen-violet-33 - run/nusselt__MAX","autumn-thunder-32 - _step","autumn-thunder-32 - _step__MIN","autumn-thunder-32 - _step__MAX","autumn-thunder-32 - run/nusselt","autumn-thunder-32 - run/nusselt__MIN","autumn-thunder-32 - run/nusselt__MAX","lucky-dream-31 - _step","lucky-dream-31 - _step__MIN","lucky-dream-31 - _step__MAX","lucky-dream-31 - run/nusselt","lucky-dream-31 - run/nusselt__MIN","lucky-dream-31 - run/nusselt__MAX","twilight-totem-30 - _step","twilight-totem-30 - _step__MIN","twilight-totem-30 - _step__MAX","twilight-totem-30 - run/nusselt","twilight-totem-30 - run/nusselt__MIN","twilight-totem-30 - run/nusselt__MAX","misty-terrain-29 - _step","misty-terrain-29 - _step__MIN","misty-terrain-29 - _step__MAX","misty-terrain-29 - run/nusselt","misty-terrain-29 - run/nusselt__MIN","misty-terrain-29 - run/nusselt__MAX","rural-violet-28 - _step","rural-violet-28 - _step__MIN","rural-violet-28 - _step__MAX","rural-violet-28 - run/nusselt","rural-violet-28 - run/nusselt__MIN","rural-violet-28 - run/nusselt__MAX","youthful-serenity-27 - _step","youthful-serenity-27 - _step__MIN","youthful-serenity-27 - _step__MAX","youthful-serenity-27 - run/nusselt","youthful-serenity-27 - run/nusselt__MIN","youthful-serenity-27 - run/nusselt__MAX","pleasant-breeze-26 - _step","pleasant-breeze-26 - _step__MIN","pleasant-breeze-26 - _step__MAX","pleasant-breeze-26 - run/nusselt","pleasant-breeze-26 - run/nusselt__MIN","pleasant-breeze-26 - run/nusselt__MAX","hopeful-serenity-25 - _step","hopeful-serenity-25 - _step__MIN","hopeful-serenity-25 - _step__MAX","hopeful-serenity-25 - run/nusselt","hopeful-serenity-25 - run/nusselt__MIN","hopeful-serenity-25 - run/nusselt__MAX"
"11","31","31","31","2.3715373497804038","2.3715373497804038","2.3715373497804038","31","31","31","2.3271729820929057","2.3271729820929057","2.3271729820929057","31","31","31","2.2953836075777265","2.2953836075777265","2.2953836075777265","31","31","31","2.2735506091893636","2.2735506091893636","2.2735506091893636","31","31","31","2.354469521717012","2.354469521717012","2.354469521717012","31","31","31","2.3551791539320823","2.3551791539320823","2.3551791539320823","31","31","31","2.2953836075777265","2.2953836075777265","2.2953836075777265","31","31","31","1.9840845872507338","1.9840845872507338","1.9840845872507338","31","31","31","2.3271729820929057","2.3271729820929057","2.3271729820929057","31","31","31","1.9614084812448038","1.9614084812448038","1.9614084812448038","31","31","31","2.0283872313113385","2.0283872313113385","2.0283872313113385","31","31","31","2.3762105342443482","2.3762105342443482","2.3762105342443482","31","31","31","2.3715373497804038","2.3715373497804038","2.3715373497804038","31","31","31","1.9840845872507338","1.9840845872507338","1.9840845872507338","31","31","31","2.3356679965126688","2.3356679965126688","2.3356679965126688","31","31","31","2.3551791539320823","2.3551791539320823","2.3551791539320823"
"12","34","34","34","2.38354230049001","2.38354230049001","2.38354230049001","34","34","34","2.360110410794825","2.360110410794825","2.360110410794825","34","34","34","2.271988486492576","2.271988486492576","2.271988486492576","34","34","34","2.235970353883433","2.235970353883433","2.235970353883433","34","34","34","2.372349632252983","2.372349632252983","2.372349632252983","34","34","34","2.3729132499803844","2.3729132499803844","2.3729132499803844","34","34","34","2.271988486492576","2.271988486492576","2.271988486492576","34","34","34","2.16321772338802","2.16321772338802","2.16321772338802","34","34","34","2.360110410794825","2.360110410794825","2.360110410794825","34","34","34","2.0531510557763952","2.0531510557763952","2.0531510557763952","34","34","34","2.2127420179886075","2.2127420179886075","2.2127420179886075","34","34","34","2.40725670340002","2.40725670340002","2.40725670340002","34","34","34","2.38354230049001","2.38354230049001","2.38354230049001","34","34","34","2.16321772338802","2.16321772338802","2.16321772338802","34","34","34","2.353272017503709","2.353272017503709","2.353272017503709","34","34","34","2.3729132499803844","2.3729132499803844","2.3729132499803844"
"13","37","37","37","2.4186877534319695","2.4186877534319695","2.4186877534319695","37","37","37","2.4499297244990097","2.4499297244990097","2.4499297244990097","37","37","37","2.265872115626858","2.265872115626858","2.265872115626858","37","37","37","2.234427516034","2.234427516034","2.234427516034","37","37","37","2.4123865951887535","2.4123865951887535","2.4123865951887535","37","37","37","2.4063868441049348","2.4063868441049348","2.4063868441049348","37","37","37","2.265872115626858","2.265872115626858","2.265872115626858","37","37","37","2.3368440392247996","2.3368440392247996","2.3368440392247996","37","37","37","2.4499297244990097","2.4499297244990097","2.4499297244990097","37","37","37","2.260867532246989","2.260867532246989","2.260867532246989","37","37","37","2.3705803913154373","2.3705803913154373","2.3705803913154373","37","37","37","2.4079769645927174","2.4079769645927174","2.4079769645927174","37","37","37","2.4186877534319695","2.4186877534319695","2.4186877534319695","37","37","37","2.3368440392247996","2.3368440392247996","2.3368440392247996","37","37","37","2.3951045812210423","2.3951045812210423","2.3951045812210423","37","37","37","2.4063868441049348","2.4063868441049348","2.4063868441049348"
"14","40","40","40","2.459051992926515","2.459051992926515","2.459051992926515","40","40","40","2.5615068694249623","2.5615068694249623","2.5615068694249623","40","40","40","2.2622171933646866","2.2622171933646866","2.2622171933646866","40","40","40","2.2437044197186435","2.2437044197186435","2.2437044197186435","40","40","40","2.454415178429461","2.454415178429461","2.454415178429461","40","40","40","2.436750540188858","2.436750540188858","2.436750540188858","40","40","40","2.2622171933646866","2.2622171933646866","2.2622171933646866","40","40","40","2.532702749936921","2.532702749936921","2.532702749936921","40","40","40","2.5615068694249623","2.5615068694249623","2.5615068694249623","40","40","40","2.5176748320776365","2.5176748320776365","2.5176748320776365","40","40","40","2.5389723918720337","2.5389723918720337","2.5389723918720337","40","40","40","2.39512897594392","2.39512897594392","2.39512897594392","40","40","40","2.459051992926515","2.459051992926515","2.459051992926515","40","40","40","2.532702749936921","2.532702749936921","2.532702749936921","40","40","40","2.4398811677618855","2.4398811677618855","2.4398811677618855","40","40","40","2.436750540188858","2.436750540188858","2.436750540188858"
"15","43","43","43","2.49074851930177","2.49074851930177","2.49074851930177","43","43","43","2.659332644005539","2.659332644005539","2.659332644005539","43","43","43","2.243716482011089","2.243716482011089","2.243716482011089","43","43","43","2.244564219609305","2.244564219609305","2.244564219609305","43","43","43","2.4823184620537107","2.4823184620537107","2.4823184620537107","43","43","43","2.4511205257182076","2.4511205257182076","2.4511205257182076","43","43","43","2.243716482011089","2.243716482011089","2.243716482011089","43","43","43","2.5488884919213284","2.5488884919213284","2.5488884919213284","43","43","43","2.659332644005539","2.659332644005539","2.659332644005539","43","43","43","2.7637671697936423","2.7637671697936423","2.7637671697936423","43","43","43","2.5319112088236198","2.5319112088236198","2.5319112088236198","43","43","43","2.348716302529647","2.348716302529647","2.348716302529647","43","43","43","2.49074851930177","2.49074851930177","2.49074851930177","43","43","43","2.5488884919213284","2.5488884919213284","2.5488884919213284","43","43","43","2.4686629742573696","2.4686629742573696","2.4686629742573696","43","43","43","2.4511205257182076","2.4511205257182076","2.4511205257182076"
"16","46","46","46","2.505964226634436","2.505964226634436","2.505964226634436","46","46","46","2.60673675173923","2.60673675173923","2.60673675173923","46","46","46","2.204335919618997","2.204335919618997","2.204335919618997","46","46","46","2.2739756159997797","2.2739756159997797","2.2739756159997797","46","46","46","2.488262654045997","2.488262654045997","2.488262654045997","46","46","46","2.4453006303568046","2.4453006303568046","2.4453006303568046","46","46","46","2.204335919618997","2.204335919618997","2.204335919618997","46","46","46","2.4622705661063895","2.4622705661063895","2.4622705661063895","46","46","46","2.60673675173923","2.60673675173923","2.60673675173923","46","46","46","2.7432717676239196","2.7432717676239196","2.7432717676239196","46","46","46","2.449132662554426","2.449132662554426","2.449132662554426","46","46","46","2.279463755801765","2.279463755801765","2.279463755801765","46","46","46","2.505964226634436","2.505964226634436","2.505964226634436","46","46","46","2.4622705661063895","2.4622705661063895","2.4622705661063895","46","46","46","2.471602879680001","2.471602879680001","2.471602879680001","46","46","46","2.4453006303568046","2.4453006303568046","2.4453006303568046"
"17","49","49","49","2.507494385599154","2.507494385599154","2.507494385599154","49","49","49","2.4082800925730443","2.4082800925730443","2.4082800925730443","49","49","49","2.180716936893423","2.180716936893423","2.180716936893423","49","49","49","2.280474709642815","2.280474709642815","2.280474709642815","49","49","49","2.477692898241145","2.477692898241145","2.477692898241145","49","49","49","2.4269929223891977","2.4269929223891977","2.4269929223891977","49","49","49","2.180716936893423","2.180716936893423","2.180716936893423","49","49","49","2.3277522078714368","2.3277522078714368","2.3277522078714368","49","49","49","2.4082800925730443","2.4082800925730443","2.4082800925730443","49","49","49","2.5662999639975417","2.5662999639975417","2.5662999639975417","49","49","49","2.3348264595221635","2.3348264595221635","2.3348264595221635","49","49","49","2.202291558360632","2.202291558360632","2.202291558360632","49","49","49","2.507494385599154","2.507494385599154","2.507494385599154","49","49","49","2.3277522078714368","2.3277522078714368","2.3277522078714368","49","49","49","2.4550890659183637","2.4550890659183637","2.4550890659183637","49","49","49","2.4269929223891977","2.4269929223891977","2.4269929223891977"
"18","52","52","52","2.5058732064388023","2.5058732064388023","2.5058732064388023","52","52","52","2.1877607495904163","2.1877607495904163","2.1877607495904163","52","52","52","2.1744584011958406","2.1744584011958406","2.1744584011958406","52","52","52","2.328169121738149","2.328169121738149","2.328169121738149","52","52","52","2.464588403055019","2.464588403055019","2.464588403055019","52","52","52","2.410865866328664","2.410865866328664","2.410865866328664","52","52","52","2.1744584011958406","2.1744584011958406","2.1744584011958406","52","52","52","2.2981610235182908","2.2981610235182908","2.2981610235182908","52","52","52","2.1877607495904163","2.1877607495904163","2.1877607495904163","52","52","52","2.299161012716159","2.299161012716159","2.299161012716159","52","52","52","2.328333248381936","2.328333248381936","2.328333248381936","52","52","52","2.146747566309331","2.146747566309331","2.146747566309331","52","52","52","2.5058732064388023","2.5058732064388023","2.5058732064388023","52","52","52","2.2981610235182908","2.2981610235182908","2.2981610235182908","52","52","52","2.436228356352004","2.436228356352004","2.436228356352004","52","52","52","2.410865866328664","2.410865866328664","2.410865866328664"
"19","55","55","55","2.509622514482823","2.509622514482823","2.509622514482823","55","55","55","2.0863920505454194","2.0863920505454194","2.0863920505454194","55","55","55","2.239859203028849","2.239859203028849","2.239859203028849","55","55","55","2.3341715829281378","2.3341715829281378","2.3341715829281378","55","55","55","2.459652786435237","2.459652786435237","2.459652786435237","55","55","55","2.407663863496357","2.407663863496357","2.407663863496357","55","55","55","2.239859203028849","2.239859203028849","2.239859203028849","55","55","55","2.407955455394599","2.407955455394599","2.407955455394599","55","55","55","2.0863920505454194","2.0863920505454194","2.0863920505454194","55","55","55","2.2856207721519506","2.2856207721519506","2.2856207721519506","55","55","55","2.443118125328782","2.443118125328782","2.443118125328782","55","55","55","2.1420255854925236","2.1420255854925236","2.1420255854925236","55","55","55","2.509622514482823","2.509622514482823","2.509622514482823","55","55","55","2.407955455394599","2.407955455394599","2.407955455394599","55","55","55","2.427815566258717","2.427815566258717","2.427815566258717","55","55","55","2.407663863496357","2.407663863496357","2.407663863496357"
"20","58","58","58","2.4426609010267226","2.4426609010267226","2.4426609010267226","58","58","58","2.0753466484357475","2.0753466484357475","2.0753466484357475","58","58","58","2.2996493495986767","2.2996493495986767","2.2996493495986767","58","58","58","2.3691098661000045","2.3691098661000045","2.3691098661000045","58","58","58","2.4642339839178002","2.4642339839178002","2.4642339839178002","58","58","58","2.4186531561110125","2.4186531561110125","2.4186531561110125","58","58","58","2.2996493495986767","2.2996493495986767","2.2996493495986767","58","58","58","2.5239972140159725","2.5239972140159725","2.5239972140159725","58","58","58","2.0753466484357475","2.0753466484357475","2.0753466484357475","58","58","58","2.306075222508212","2.306075222508212","2.306075222508212","58","58","58","2.4917101020415107","2.4917101020415107","2.4917101020415107","58","58","58","2.166078480542371","2.166078480542371","2.166078480542371","58","58","58","2.4426609010267226","2.4426609010267226","2.4426609010267226","58","58","58","2.5239972140159725","2.5239972140159725","2.5239972140159725","58","58","58","2.430223915373811","2.430223915373811","2.430223915373811","58","58","58","2.4186531561110125","2.4186531561110125","2.4186531561110125"
